r,1348
F,591
b,19
e,10337
w,127594
r,1408
F,3004
b,18
e,10261
w,127365
r,1354
F,2325
b,18
e,10168
w,128620
r,1637
F,2006
b,19
e,10957
w,127155
r,1528
F,2690
b,18
e,10908
w,127650
r,1411
F,593
b,18
e,10420
w,127993
r,1531
F,591
b,17
e,12463
w,127328
r,1782
F,591
b,18
e,10670
w,127006
r,1519
F,602
b,18
e,11731
w,127310
r,1412
F,591
b,18
e,10236
w,126895
r,1514
F,598
b,18
e,10765
w,127993
r,1409
F,1644
b,18
e,10451
w,126940
r,1531
F,2297
b,19
e,11777
w,127321
r,1715
F,599
b,20
e,10661
w,128055
r,1526
F,591
b,20
e,11490
w,127432
r,1447
F,689
b,19
e,10809
w,127200
r,1537
F,591
b,18
e,12411
w,127318
r,1414
F,591
b,20
e,10240
w,127590
r,1590
F,700
b,17
e,12054
w,127983
r,1461
F,591
b,19
e,10378
w,126909
