r,5063
F,11938
b,19
e,46116
w,508423
r,6574
F,9586
b,21
e,53131
w,519730
r,5333
F,12370
b,22
e,47999
w,567898
r,6046
F,8226
b,19
e,49971
w,508752
r,5384
F,11034
b,20
e,46921
w,509139
r,5768
F,7182
b,20
e,50081
w,516928
r,5351
F,11613
b,21
e,45057
w,509049
r,6040
F,10225
b,21
e,47604
w,508959
r,5223
F,12333
b,23
e,44891
w,516492
r,5787
F,6592
b,19
e,45947
w,509143
r,5313
F,8021
b,21
e,44977
w,516251
r,5810
F,11857
b,21
e,49267
w,509175
r,5217
F,6454
b,21
e,44634
w,508284
r,5794
F,12086
b,20
e,51829
w,509203
r,5318
F,6760
b,21
e,50931
w,511655
r,5747
F,7829
b,21
e,46544
w,510238
r,5309
F,9063
b,20
e,43279
w,508697
r,5386
F,6259
b,21
e,48233
w,518679
r,5438
F,8296
b,21
e,45409
w,552012
r,5254
F,8984
b,20
e,48032
w,516663
